scenario_name,gen_positions,storage_units,load_factor
scenario_1,"{1:'nuclear',2:'gas',3:'wind',4:'solar'}","{6:'battery'}",1.0
scenario_2,"{1:'nuclear',3:'gas',4:'wind'}","{}",1.0
scenario_3,"{1:'nuclear',2:'gas',3:'wind',7:'battery'}","{}",0.8

---
time,id,pmax,pmin,gencost,emax,einitial,eta,season
2023-01-08 00:00:00,nuclear,300.0,0,3,0.0,0.0,0.0,winter
2023-01-08 01:00:00,nuclear,300.0,0,3,0.0,0.0,0.0,winter
2023-01-08 02:00:00,nuclear,300.0,0,3,0.0,0.0,0.0,winter
2023-01-08 03:00:00,nuclear,300.0,0,3,0.0,0.0,0.0,winter
...
2023-08-06 00:00:00,nuclear,300.0,0,3,0.0,0.0,0.0,summer
2023-08-06 01:00:00,nuclear,300.0,0,3,0.0,0.0,0.0,summer
2023-08-06 02:00:00,nuclear,300.0,0,3,0.0,0.0,0.0,summer
2023-08-06 03:00:00,nuclear,300.0,0,3,0.0,0.0,0.0,summer
...
2023-10-22 00:00:00,nuclear,300.0,0,3,0.0,0.0,0.0,autumn
2023-10-22 01:00:00,nuclear,300.0,0,3,0.0,0.0,0.0,autumn
2023-10-22 02:00:00,nuclear,300.0,0,3,0.0,0.0,0.0,autumn
2023-10-22 03:00:00,nuclear,300.0,0,3,0.0,0.0,0.0,autum
...
2023-01-08 00:00:00,wind,7.8653,0,0,0.0,0.0,0.0,winter
2023-01-08 01:00:00,wind,7.625,0,0,0.0,0.0,0.0,winter
2023-01-08 02:00:00,wind,6.3604,0,0,0.0,0.0,0.0,winter
2023-01-08 03:00:00,wind,5.9321,0,0,0.0,0.0,0.0,winter
...
2023-08-06 00:00:00,wind,13.8535,0,0,0.0,0.0,0.0,summer
2023-08-06 01:00:00,wind,13.9263,0,0,0.0,0.0,0.0,summer
2023-08-06 02:00:00,wind,16.6515,0,0,0.0,0.0,0.0,summer
2023-08-06 03:00:00,wind,21.9799,0,0,0.0,0.0,0.0,summer
...
